year,batter,runs_scored,balls_faced,boundaries,dot_balls,wickets,sixes,fours,strike_rate,boundary_percentage,dot_ball_percentage,six_percentage,four_percentage,average
2007,TM Dilshan,104,79,17,33,4,3,14,131.64556962025316,21.518987341772153,41.77215189873418,3.79746835443038,17.72151898734177,26.0
2007,TM Srivastava,8,10,0,4,1,0,0,80.0,0.0,40.0,0.0,0.0,8.0
2007,U Kaul,0,1,0,1,0,0,0,0.0,0.0,100.0,0.0,0.0,
2007,Umar Gul,39,19,6,6,3,5,1,205.26315789473685,31.57894736842105,31.57894736842105,26.31578947368421,5.263157894736842,13.0
2007,V Kohli,165,168,22,67,12,4,18,98.21428571428571,13.095238095238097,39.88095238095239,2.380952380952381,10.714285714285714,13.75
2007,V Sehwag,406,229,67,58,12,21,46,177.29257641921396,29.257641921397383,25.327510917030565,9.170305676855897,20.087336244541483,33.833333333333336
2007,VRV Singh,4,3,1,1,1,0,1,133.33333333333331,33.33333333333333,33.33333333333333,0.0,33.33333333333333,4.0
2007,VS Yeligati,2,2,0,1,1,0,0,100.0,0.0,50.0,0.0,0.0,2.0
2007,VVS Laxman,155,134,23,49,5,1,22,115.67164179104476,17.16417910447761,36.56716417910448,0.7462686567164178,16.417910447761194,31.0
2007,VY Mahesh,15,28,0,13,2,0,0,53.57142857142857,0.0,46.42857142857143,0.0,0.0,7.5
2007,W Jaffer,115,110,15,45,5,3,12,104.54545454545455,13.636363636363635,40.909090909090914,2.727272727272727,10.909090909090908,23.0
2007,WA Mota,26,28,2,9,1,0,2,92.85714285714286,7.142857142857142,32.142857142857146,0.0,7.142857142857142,26.0
2007,WP Saha,159,119,19,44,6,7,12,133.61344537815125,15.966386554621847,36.97478991596639,5.88235294117647,10.084033613445378,26.5
2007,WPUJC Vaas,21,18,1,6,2,1,0,116.66666666666667,5.555555555555555,33.33333333333333,5.555555555555555,0.0,10.5
2007,Y Venugopal Rao,288,217,37,73,8,15,22,132.7188940092166,17.050691244239633,33.6405529953917,6.912442396313365,10.138248847926267,36.0
2007,YK Pathan,435,253,68,75,12,25,43,171.93675889328063,26.877470355731226,29.64426877470356,9.881422924901186,16.99604743083004,36.25
